work_id,author_name,author_lower,min_distance,matched_researcher
https://openalex.org/W4399861224,Jason McDermott,jason mcdermott,5.551115123125783e-17,Jason McDermott
https://openalex.org/W4399861224,Jeffrey L. Blanchard,jeffrey l. blanchard,0.069607843137255,Jeffrey Blanchard
https://openalex.org/W4399861224,Katherine A. Dynarski,katherine a. dynarski,0.0846560846560847,Katherine Dynarski
https://openalex.org/W4391028454,Rudolf Meier,rudolf meier,5.551115123125783e-17,Rudolf Meier
https://openalex.org/W2791473463,Ed Gilbert,ed gilbert,5.551115123125783e-17,Ed Gilbert
https://openalex.org/W1809269061,Rebecca J. Eisen,rebecca j. eisen,0.06250000000000006,Rebecca Eisen
https://openalex.org/W4387058357,Ben Dantzer,ben dantzer,5.551115123125783e-17,Ben Dantzer
https://openalex.org/W4387058357,Katie McCain,katie mccain,0.07905982905982913,Kailey McCain
https://openalex.org/W4387058357,Sara H. Paull,sara h. paull,0.076923076923077,Sara Paull
https://openalex.org/W4387058357,Heather L. Throop,heather l. throop,0.058823529411764844,Heather Throop
https://openalex.org/W4387058357,Lynn B. Martin,lynn b. martin,0.07142857142857152,Lynn Martin
https://openalex.org/W3127260139,Songlin Fei,songlin fei,5.551115123125783e-17,Songlin Fei
https://openalex.org/W4311107783,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W1484479108,John Cook,john cook,0.09764309764309766,John Orrock
https://openalex.org/W2903682667,Bryan S. McLean,bryan s. mclean,0.06666666666666678,Bryan McLean
https://openalex.org/W2903682667,Bryan S. McLean,bryan s. mclean,0.06666666666666678,Bryan McLean
https://openalex.org/W2589663725,Phoebe L. Zarnetske,phoebe l. zarnetske,0.05263157894736849,Phoebe Zarnetske
https://openalex.org/W2589663725,Benjamin Baiser,benjamin baiser,5.551115123125783e-17,Benjamin Baiser
https://openalex.org/W2589663725,Angela L. Strecker,angela l. strecker,0.05555555555555556,Angela Strecker
https://openalex.org/W2589663725,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W2885673741,Eugene F. Kelly,eugene f. kelly,0.06666666666666678,Eugene Kelly
https://openalex.org/W4309491481,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W4309491481,Katharyn Duffy,katharyn duffy,5.551115123125783e-17,Katharyn Duffy
https://openalex.org/W4309491481,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W2256371263,David Toledo,david toledo,5.551115123125783e-17,David Toledo
https://openalex.org/W4308507701,Sara H. Paull,sara h. paull,0.076923076923077,Sara Paull
https://openalex.org/W4214767684,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W4390945514,Jarrett D. Blair,jarrett d. blair,0.06250000000000006,Jarrett Blair
https://openalex.org/W4390945514,Katie E. Marshall,katie e. marshall,0.058823529411764844,Katie Marshall
https://openalex.org/W3094378917,Beckett Sterner,beckett sterner,5.551115123125783e-17,Beckett Sterner
https://openalex.org/W3094378917,Nico M. Franz,nico m. franz,0.076923076923077,Nico Franz
https://openalex.org/W4387949433,Elise F. Zipkin,elise f. zipkin,0.06666666666666678,Elise Zipkin
https://openalex.org/W3046595318,Michelle E. Afkhami,michelle e. afkhami,0.05263157894736849,Michelle Afkhami
https://openalex.org/W2415535918,John N. Parker,john n. parker,0.07142857142857152,John Parker
https://openalex.org/W3126079966,Songlin Fei,songlin fei,5.551115123125783e-17,Songlin Fei
https://openalex.org/W3109795609,Zacchaeus G. Compson,zacchaeus g. compson,0.069607843137255,Zaccheaus Compson
https://openalex.org/W3127914840,Songlin Fei,songlin fei,5.551115123125783e-17,Songlin Fei
https://openalex.org/W4320895634,Justin P. F. Pomeranz,justin p. f. pomeranz,0.09523809523809525,Justin Pomeranz
https://openalex.org/W3127262493,Melissa A. Genazzio,melissa a. genazzio,0.09429824561403516,Melissa Genazzio
https://openalex.org/W4378801980,Desirée L. Narango,desirée l. narango,0.0962962962962963,Desiree Narango
https://openalex.org/W2956755613,Marco Cantonati,marco cantonati,5.551115123125783e-17,Marco Cantonati
https://openalex.org/W4200308939,Elizabeth La Rue,elizabeth la rue,0.06388888888888886,Elizabeth LaRou
https://openalex.org/W4386201130,Paula Mabee,paula mabee,5.551115123125783e-17,Paula Mabee
https://openalex.org/W4377012406,John D. Parker,john d. parker,0.07142857142857152,John Parker
https://openalex.org/W3200916956,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W3200916956,Phoebe L. Zarnetske,phoebe l. zarnetske,0.05263157894736849,Phoebe Zarnetske
https://openalex.org/W3200916956,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W4393009854,Justin P. F. Pomeranz,justin p. f. pomeranz,0.09523809523809525,Justin Pomeranz
https://openalex.org/W3171818819,Phoebe L. Zarnetske,phoebe l. zarnetske,0.05263157894736849,Phoebe Zarnetske
https://openalex.org/W4413963077,Alyson East,alyson east,5.551115123125783e-17,Alyson East
https://openalex.org/W4413963077,Elizabeth Campolongo,elizabeth campolongo,5.551115123125783e-17,Elizabeth Campolongo
https://openalex.org/W4413963077,S M Rayeed,s m rayeed,0.07037037037037047,SM Rayeed
https://openalex.org/W4413963077,Samuel Stevens,samuel stevens,5.551115123125783e-17,Samuel Stevens
https://openalex.org/W4413963077,Scott Lowe,scott lowe,5.551115123125783e-17,Scott Lowe
https://openalex.org/W4413963077,Kayla I. Perry,kayla i. perry,0.07142857142857152,Kayla Perry
https://openalex.org/W4413963077,Matthew B. Thompson,matthew b. thompson,0.05263157894736849,Matthew Thompson
https://openalex.org/W4413963077,Hilmar Lapp,hilmar lapp,5.551115123125783e-17,Hilmar Lapp
https://openalex.org/W4413963077,Paula Mabee,paula mabee,5.551115123125783e-17,Paula Mabee
https://openalex.org/W4413963077,Graham W. Taylor,graham w. taylor,0.06250000000000006,Graham Taylor
https://openalex.org/W4413963077,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W4247877597,Rebecca Even,rebecca even,0.07905982905982913,Rebecca Eisen
https://openalex.org/W4327862370,Michelle E. Afkhami,michelle e. afkhami,0.05263157894736849,Michelle Afkhami
https://openalex.org/W2509141605,Michael Bahn,michael bahn,0.07905982905982913,Michael Bogan
